,pvalue_QTE_twoSides,pvalue_QDE_twoSides,pvalue_QIE_twoSides,pvalue_normal_QDE_twoSides,pvalue_QTE_RightSide,pvalue_QDE_RightSide,pvalue_QIE_RightSide,pvalue_normal_QDE_RightSide,QDE,QIE,coe_beta0_mse,coe_gamma_y_mse,coe_beta11_mse,coe_beta12_mse,coe_phi01_mse,coe_Gamma_s1_mse,coe_phi11_mse,coe_phi12_mse,coe_phi02_mse,coe_Gamma_s2_mse,coe_phi21_mse,coe_phi22_mse,mean_stat_QIE_b,sd_stat_QIE_b,run_time,QDE_mse,QIE_mse,QTE_indicator_twoSides,QDE_indicator_twoSides,QIE_indicator_twoSides,QDE_norm_indicator_twoSides,QTE_indicator_RightSide,QDE_indicator_RightSide,QIE_indicator_RightSide,QDE_norm_indicator_RightSide
Run10,0.7,0.4,0.7,0.6795660190547792,0.6,0.2,0.6,0.3397830095273896,0.08132006402323552,-1.70679003504905,0.0037401404824702455,0.0103342855513438,0.003547462594372547,0.003166061936019593,0.006208760290975669,0.0028817497607717744,0.015722079439976767,0.0023111569513511116,0.005321512304808028,0.013721455760865371,0.010932341792809492,0.010258520776921123,-0.8187049269581621,4.873001640219179,0.025022383530934653,0.006612952812743125,2.913132223742737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run11,0.9,0.4,0.9,0.3869074270070132,0.6,0.3,0.6,0.1934537135035066,0.2430193000817951,-1.37869317755099,0.006802859877123017,0.009142565528448353,0.006935973200635195,0.010683140228443265,0.012986973914726146,0.015360898776569794,0.010538561698370166,0.0060851412204814435,0.02271609251358401,0.04892539417473572,0.011022748169567491,0.03448671222409878,0.16942895323791757,6.098488554098884,0.025059998035430908,0.05905838021224557,1.9007948778256458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run12,0.9,0.0,0.9,0.0019488201842370323,0.5,1.0,0.5,0.9990255899078815,-0.34437149725772925,0.9051789223730671,0.004438958930496513,0.006302426711966502,0.0028164394252548045,0.0011679578464335704,0.008410897058208322,0.012537813614073136,0.008081770812446354,0.003163786403807417,0.013177964368703195,0.029707670336071048,0.007579450455037558,0.0145258723485062,0.5817893019555178,3.56198879892752,0.02492891550064087,0.11859172812353022,0.819348881508467,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Run13,0.7,0.1,0.7,0.08697883666071093,0.5,0.9,0.5,0.9565105816696445,-0.31517461678701547,1.9579686005923136,0.006782736352336726,0.009654818866602436,0.0022335158834836514,0.0035003404493300122,0.028226134315419565,0.033646792566839515,0.006365131417175779,0.005523154030414797,0.0077264823871649865,0.022481056939409404,0.011400093230678716,0.012127808169183218,1.2959103335752633,3.0674213516565287,0.025179183483123778,0.09933503906684206,3.8336410409054227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run14,0.3,1.0,0.3,0.989430128650999,0.2,0.4,0.2,0.4947150643254995,0.002376020491225636,4.241251091119071,0.006249239345442608,0.00915108945769279,0.00233480525740417,0.0025038941180337434,0.016468344534473024,0.004323096929267961,0.0036194322211457863,0.006822328691438097,0.013772918968522363,0.02769725038138717,0.00867149861056323,0.020330485289696297,0.17281811723047458,3.8893501337770835,0.025790154933929443,5.645473374724113e-06,17.988210817918706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run15,0.4,0.7,0.4,0.6425923981476023,0.8,0.6,0.8,0.6787038009261989,-0.08722245807232877,-2.7074037816742833,0.006359209247336773,0.0056422415380539504,0.0028120290215571907,0.0023768000089186736,0.006618628438750714,0.0035995856319968136,0.009585657933824496,0.005806484485427072,0.012438283614264738,0.012270504830535617,0.00863205191389858,0.013041474023856199,-0.19528080950621324,3.8618234135780436,0.024770883719126384,0.00760775719217915,7.330035237024211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run16,0.8,0.6,0.9,0.5645566671714966,0.4,0.5,0.5,0.7177216664142517,-0.1528468366363405,-0.24453785010825718,0.006346626269260295,0.005145658950060453,0.002584373795299199,0.002025879854247261,0.012564889938091519,0.011886678588535147,0.005543696629436876,0.004071648164936591,0.01719357683240934,0.026282541115585912,0.011515444179316225,0.017052824686550984,-1.571451225740422,4.297776148427145,0.025301770369211832,0.02336215546973616,0.05979876013556846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run17,1.0,0.6,1.0,0.5586362615038709,0.9,0.8,0.9,0.7206818692480645,-0.11531859840652317,0.1716451603169634,0.006472936757682537,0.005637769262709398,0.001284666859739662,0.0014372315399516055,0.007829662424129786,0.02593111974571222,0.0025750855702193925,0.0018609365581499387,0.005700703615333721,0.017971331370800907,0.004179350779602044,0.012872037534335074,1.5692551508849395,2.8488383260220016,0.02479393482208252,0.013298379138444968,0.029462061060236064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run18,0.3,0.9,0.3,0.8603992940364824,0.1,0.4,0.1,0.4301996470182412,0.043186419917557485,5.179117917065692,0.00632325350982921,0.021676965317582897,0.004491575350457983,0.0037512287525242483,0.005730612937118752,0.0041549643607134,0.007665167170461432,0.0038400957505699924,0.005616645426652359,0.013580078945299069,0.0061735839013450575,0.017718297910807538,-0.4040352283542822,4.248847194730155,0.025061364968617758,0.0018650668652956059,26.823262398870867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run19,0.2,0.1,0.1,0.08535815261888313,0.9,0.1,1.0,0.042679076309441566,0.28406357574066654,-5.413248948905492,0.005985709704835342,0.012901202701762668,0.0028175212514296743,0.00473826552163759,0.004532682308869709,0.008851574993260006,0.009372440692784667,0.0024336758409363377,0.009318157974650913,0.008094271203415432,0.01479910265892584,0.012731795245764512,-0.1198421422991037,3.55421263769176,0.025363496939341226,0.0806921150625734,29.303264182826418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
